NOMBRE,Dto.,TIPO,RENTA,SUPERFICIE,SUPERFICIE_RESIDENCIAL,DENSIDAD,DENSIDAD_NETA,PARADOS,EDAD_0_14,EDAD_15_24,EDAD_25_64,EDAD_MAYORES_65,NACIDOS_BCN,NACIDOS_RESTO_CAT,NACIDOS_RESTO_ESP,NACIDOS_EXT,NACIONALIDAD_ESP,NACIONALIDAD_EXT,FORMACION_TERCER_GRADO,Una mujer sola de 18 a 64 años,Un hombre solo de 18 a 64 años,Una mujer sola de 65 años y más,Un hombre solo de 65 años y más,Dos personas de 18 a 64 años,Dos personas de 65 años y más,"Dos personas, una de 18 a 64 años de edad y otra de 65 años y más","Dos personas o más, todas mayores de 18 años",Dos personas o más: una mujer de 18 años o más con otras menores de 18 años,Dos personas o más: un hombre de 18 años o más con otras menores de 18 años,Tres personas o más: dos de 18 años o más y el resto menores de 18 años,Otros domicilios con una o más personas menores de 18 años
la Dreta de l'Eixample,2,BARRIO,28044,212,"113,9",209,388,1166,"0,11","0,1","0,58","0,21","0,48","0,09","0,12","0,31","0,75","0,25","0,53",1958,1870,1912,702,2688,1343,945,3607,425,106,2089,1015
el Barri Gòtic,1,BARRIO,14598,"81,6","34,1",265,633,5032,"0,07","0,11","0,72","0,1","0,2","0,04","0,08","0,67","0,38","0,62","0,33",901,1082,400,245,1284,223,267,1281,110,20,395,364
el Raval,1,BARRIO,12351,110,"49,6",437,969,6180,"0,13","0,11","0,65","0,11","0,26","0,04","0,09","0,61","0,47","0,53","0,27",1804,2630,1066,601,2857,517,638,3264,336,34,1623,1822
l'Antiga Esquerra de l'Eixample,2,BARRIO,26337,"122,8","66,9",350,643,1158,"0,1","0,09","0,6","0,21","0,46","0,09","0,13","0,32","0,74","0,26","0,5",2010,1949,2000,633,2676,1300,999,3432,361,90,1841,940
"Sant Pere, Santa Caterina i la Ribera",1,BARRIO,17803,111,"32,4",209,715,6821,"0,09","0,1","0,67","0,14","0,29","0,05","0,12","0,53","0,54","0,46","0,42",1464,1718,716,328,2089,353,421,1643,217,51,695,545
Sant Antoni,2,BARRIO,21916,"80,4","41,3",484,941,7734,"0,1","0,08","0,59","0,22","0,47","0,08","0,14","0,32","0,75","0,25","0,39",1503,1630,1821,585,2353,1381,907,3089,303,84,1565,1026
el Fort Pienc,2,BARRIO,21890,"92,9","33,6",360,994,6217,"0,11","0,09","0,59","0,21","0,45","0,07","0,14","0,33","0,73","0,27","0,4",1113,1058,1396,443,1738,1135,721,2660,255,59,1448,854
la Nova Esquerra de l'Eixample,2,BARRIO,24528,"134,1","65,2",437,899,1814,"0,1","0,09","0,58","0,23","0,48","0,09","0,15","0,28","0,79","0,21","0,45",2284,2326,2823,880,3266,2305,1452,4702,511,112,2574,1412
el Poble-sec,3,BARRIO,16091,"458,5",38,88,1058,10518,"0,11","0,09","0,64","0,17","0,39","0,05","0,13","0,43","0,66","0,34","0,3",1728,1816,1391,502,2667,919,793,2888,361,69,1510,1309
la Sagrada Família,2,BARRIO,22128,"104,2",51,501,1024,10106,"0,1","0,09","0,59","0,22","0,47","0,07","0,15","0,3","0,76","0,24","0,4",2159,1925,2518,723,3112,1857,1279,4322,427,101,2301,1223
la Vila de Gràcia,6,BARRIO,22757,"132,1","83,8",385,606,10056,"0,11","0,08","0,62","0,19","0,49","0,09","0,13","0,29","0,76","0,24","0,47",3189,2588,2195,749,3710,1347,1085,3484,594,136,2596,987
Sant Gervasi - Galvany,5,BARRIO,35165,"166,9","95,4",287,502,5192,"0,14","0,12","0,52","0,22","0,62","0,09","0,1","0,19","0,86","0,14","0,53",1581,1397,2260,624,1825,1605,1171,3531,480,146,2503,1511
el Camp d en Grassot i Gràcia Nova,6,BARRIO,24015,"65,1","38,5",545,919,6608,"0,11","0,08","0,57","0,24","0,55","0,09","0,14","0,23","0,83","0,17","0,43",1530,1173,1818,495,1926,1457,865,2643,331,91,1835,718
la Barceloneta,1,BARRIO,16271,"117,9","13,5",128,1112,4933,"0,07","0,09","0,66","0,17","0,38","0,04","0,12","0,47","0,59","0,41","0,31",1024,1144,601,226,1327,306,363,1089,125,21,410,302
el Parc i la Llacuna del Poblenou,10,BARRIO,20601,"112,2","22,3",142,712,3225,"0,12","0,09","0,59","0,2","0,46","0,07","0,17","0,3","0,76","0,24","0,37",557,658,619,237,951,545,359,1173,163,42,933,339
el Baix Guinardó,7,BARRIO,21070,"56,2","23,7",465,1103,5082,"0,11","0,08","0,56","0,25","0,53","0,08","0,16","0,23","0,84","0,16","0,34",915,828,1294,349,1377,1023,662,2131,238,51,1270,609
el Camp de l'Arpa del Clot,10,BARRIO,20753,"74,1","42,9",528,911,1552,"0,11","0,08","0,58","0,23","0,49","0,07","0,15","0,28","0,79","0,21","0,33",1537,1444,1849,565,2305,1577,904,3005,326,62,1841,976
el Putxet i el Farró,5,BARRIO,28671,"84,8","53,1",357,570,4700,"0,14","0,11","0,55","0,21","0,59","0,09","0,1","0,22","0,84","0,16","0,52",1255,1079,1440,392,1401,1003,671,2130,324,91,1716,840
la Vila Olímpica del Poblenou,10,BARRIO,30579,"92,5","24,3",101,385,2000,"0,14","0,13","0,57","0,16","0,52","0,1","0,14","0,24","0,81","0,19","0,54",248,307,226,117,448,292,156,837,100,30,567,251
les Corts,4,BARRIO,27551,141,"64,7",331,721,8728,"0,12","0,09","0,53","0,26","0,55","0,11","0,15","0,19","0,86","0,14","0,45",1528,1406,2360,636,1975,2198,1200,3556,432,103,2460,1098
la Salut,6,BARRIO,23527,"64,8","19,5",208,689,2646,"0,12","0,09","0,54","0,25","0,56","0,09","0,14","0,21","0,84","0,16","0,42",457,408,690,180,677,572,287,985,123,22,726,335
Hostafrancs,3,BARRIO,19413,41,"22,1",395,733,3670,"0,11","0,08","0,61","0,19","0,44","0,07","0,16","0,32","0,74","0,26","0,34",739,691,585,192,1047,528,351,1262,151,26,701,434
el Clot,10,BARRIO,20415,"69,7","23,4",388,1154,6465,"0,12","0,1","0,58","0,21","0,52","0,07","0,17","0,23","0,83","0,17","0,29",866,884,1043,304,1358,1047,636,2227,259,42,1393,708
Vallcarca i els Penitents,6,BARRIO,25023,"125,1","48,2",130,339,3116,"0,13","0,09","0,55","0,23","0,56","0,08","0,14","0,22","0,84","0,16","0,42",578,605,766,227,784,565,370,1195,174,60,937,426
el Guinardó,7,BARRIO,20637,"130,9",52,287,722,8371,"0,12","0,09","0,57","0,22","0,53","0,07","0,15","0,25","0,83","0,17","0,32",1394,1292,1655,539,2053,1411,862,2780,384,76,2026,1029
Sants,3,BARRIO,20967,"109,5","59,4",399,736,8701,"0,11","0,09","0,6","0,2","0,48","0,08","0,14","0,29","0,76","0,24","0,34",1775,1610,1810,562,2439,1430,932,3025,394,86,1962,1065
el Poblenou,10,BARRIO,21557,"156,7",45,219,764,6962,"0,15","0,09","0,6","0,16","0,55","0,07","0,12","0,25","0,79","0,21","0,36",1276,1408,1036,386,2073,908,596,2301,406,101,2377,968
Navas,9,BARRIO,20051,"42,4","22,4",529,999,4815,"0,11","0,09","0,56","0,24","0,52","0,07","0,17","0,24","0,83","0,17","0,28",652,649,1131,308,1077,957,519,1757,190,49,1118,662
Sant Gervasi - la Bonanova,5,BARRIO,33225,"223,4","82,1",117,319,2872,"0,16","0,12","0,5","0,22","0,63","0,09","0,1","0,18","0,86","0,14","0,52",686,662,1092,335,801,898,557,1825,276,71,1482,758
la Bordeta,3,BARRIO,19996,"57,2","20,7",342,943,4306,"0,12","0,08","0,58","0,22","0,52","0,08","0,18","0,22","0,84","0,16","0,27",617,637,814,237,1050,811,466,1477,177,35,1038,527
les Tres Torres,5,BARRIO,38270,"78,8","42,5",211,391,1925,"0,17","0,13","0,49","0,21","0,66","0,09","0,11","0,15","0,89","0,11","0,54",343,320,612,177,386,549,292,1159,163,55,900,589
el Carmel,7,BARRIO,15678,94,"39,5",346,823,8509,"0,13","0,1","0,56","0,22","0,46","0,04","0,25","0,25","0,81","0,19","0,15",881,1017,1323,393,1636,1340,755,2411,364,54,1717,1057
la Sagrera,9,BARRIO,19566,"98,6","38,1",300,777,6388,"0,12","0,08","0,55","0,24","0,5","0,06","0,2","0,24","0,84","0,15","0,26",832,841,1317,433,1402,1393,710,2345,292,51,1520,842
el Congrés i els Indians,9,BARRIO,19827,"40,9","19,1",360,769,3108,"0,12","0,09","0,57","0,21","0,55","0,07","0,15","0,23","0,83","0,17","0,28",448,522,677,200,768,500,361,1093,131,22,853,376
la Marina de Port,3,BARRIO,16997,"126,9","38,9",247,804,9407,"0,13","0,11","0,56","0,2","0,51","0,06","0,19","0,25","0,82","0,18","0,17",784,969,1192,450,1375,987,769,2439,325,67,1511,1098
Sant Martí de Provençals,10,BARRIO,18447,"73,4","23,4",356,1116,7031,"0,12","0,09","0,54","0,25","0,52","0,07","0,21","0,2","0,85","0,15","0,21",690,731,1314,353,1176,1210,707,2001,225,54,1308,794
Vilapicina i la Torre Llobeta,8,BARRIO,19080,"56,4","29,3",462,889,6962,"0,12","0,09","0,55","0,25","0,5","0,06","0,2","0,24","0,84","0,16","0,24",750,688,1367,352,1204,1117,651,2000,268,39,1314,794
Horta,7,BARRIO,19367,307,"63,2",92,448,7406,"0,12","0,1","0,54","0,24","0,54","0,06","0,19","0,21","0,84","0,16","0,24",809,789,1237,367,1159,1203,616,1973,295,59,1442,744
la Maternitat i Sant Ramon,4,BARRIO,25146,"191,5","31,5",125,760,4480,"0,12","0,09","0,53","0,27","0,51","0,11","0,19","0,19","0,86","0,14","0,4",681,666,1141,363,907,1171,616,1945,220,54,1236,658
Sants - Badal,3,BARRIO,19584,"41,5","25,1",601,993,4533,"0,11","0,09","0,58","0,22","0,45","0,09","0,18","0,29","0,79","0,21","0,28",922,818,1052,328,1320,1023,586,1914,223,39,1083,745
