City;Year;FamilyIncome;PIB;%PrimaryStudies;%1stStageESO;%2ndStageESO;%SuperiorStudies;Criminality;Unemployment;Mortality;Immigration;WaterConsumption;Latitude;Longitude;Population,,,,,,,,
Sant Boi de Llobregat;2019;17,3;24,6;19,5;31,3;24,2;25,1;950;4548.0;722;1310;10416990;41,3458;2,035;83605
Sant Boi de Llobregat;2020;17,3;24,6;19,5;31,3;24,2;25,1;844;5292.6;877;698;6150058;41,3458;2,035;84500
Sant Boi de Llobregat;2021;17,3;24,6;19,5;31,3;24,2;25,1;845;5024.6;877;823;640743;41,3458;2,035;83755
Barcelona;2019;22,2;48;14,8;18,1;23,2;43,9;37179;68792.5;15112;75869;615837;41,3874;2,1686;5664579,
Barcelona;2020;22,2;48;14,8;18,1;23,2;43,9;25764;86826.5;19801;43938;481701;41,3874;2,1686;5743402,
Barcelona;2021;22,2;48;14,8;18,1;23,2;43,9;37014;81103.7;19801;57082;531685;41,3874;2,1686;5714730,
Badalona;2019;20;16,8;21;31,9;23;24,1;2651;13600.2;2100;5426;9579778;41,447;2,245;220440,,,
Badalona;2020;20;16,8;21;31,9;23;24,1;2868;15726.3;1665;3010;5758835;41,447;2,245;223166,,,
Badalona;2021;20;16,8;21;31,9;23;24,1;3442;15115.2;1665;3997;2788012;41,447;2,245;223006,,,
Gavà;2019;19,1;30,9;16;27,7;25,1;31,2;471;2168.6;332;804;251958;41,3031;2,0028;46771,
Gavà;2020;19,1;30,9;16;27,7;25,1;31,2;519;2536.8;413;469;331684;41,3031;2,0028;47057,
Gavà;2021;19,1;30,9;16;27,7;25,1;31,2;659;2496.8;413;595;271851;41,3031;2,0028;46931,
Cornellà de Llobregat;2019;16,9;33,6;20,6;30,1;22;27,3;1171;4590.6;738;2174;12396247;41,3574;2,0707;88592,
Cornellà de Llobregat;2020;16,9;33,6;20,6;30,1;22;27,3;1077;5554.8;996;1060;8641748;41,3574;2,0707;89936,
Cornellà de Llobregat;2021;16,9;33,6;20,6;30,1;22;27,3;1269;5300.2;996;1378;865561;41,3574;2,0707;89300,
Sant Cugat del Vallès;2019;25,8;53,4;8,4;11,7;20,8;59,1;823;2567.8;547;2484;62436220;41,4721;2,0865;91006
Sant Cugat del Vallès;2020;25,8;53,4;8,4;11,7;20,8;59,1;920;3224.9;701;1472;82297729;41,4721;2,0865;92977
Sant Cugat del Vallès;2021;25,8;53,4;8,4;11,7;20,8;59,1;1212;2987.4;701;1958;70468895;41,4721;2,0865;94012
Castelldefels;2019;21,6;21,9;12,7;19,7;26,2;41,4;750;2616.3;451;2131;296058;41,28;1,9766;67004
Castelldefels;2020;21,6;21,9;12,7;19,7;26,2;41,4;593;3265.6;539;1155;235382;41,28;1,9766;67460
Castelldefels;2021;21,6;21,9;12,7;19,7;26,2;41,4;710;3147.3;539;1572;245279;41,28;1,9766;67226
Montcada i Rexac;2019;16,5;36,4;19,4;31,7;22,8;26,1;502;2133.2;250;703;313503;41,4932;2,1819;36239
Montcada i Rexac;2020;16,5;36,4;19,4;31,7;22,8;26,1;532;2601.0;277;407;279857;41,4932;2,1819;36803
Montcada i Rexac;2021;16,5;36,4;19,4;31,7;22,8;26,1;613;2477.2;277;545;284065;41,4932;2,1819;36794
