Districtes,€ per Capita,% Sense Estudis,% Estudis primaris,% ESO,% Batxillerat,% Universitat,Casos de Delinqüència,Casos d'Atur 2019,Casos d'Atur 2020,Casos d'Atur 2021,Preu de les vivendes (€/m2) 2019,Preu de les vivendes (€/m2) 2020,Preu de les vivendes (€/m2) 2021,Mortalitat (Taxa cada 1000 habitants) 2019,Mortalitat (Taxa cada 1000 habitants) 2020,Mortalitat (Taxa cada 1000 habitants) 2021,Immigració (Taxa cada 1000 habitants) 2019,Immigració (Taxa cada 1000 habitants) 2020,Immigració (Taxa cada 1000 habitants) 2021,Consum Aigua,Latitud,Longitud
Ciutat Vella,15817.8,0.022,0.236,0.219,0.204,0.32,3172,7734833,2106146,2032854,4506,4476,4303,7.05,8.45,7.75,160.675,96.95,119.3,1135.206897,41.3813,2.1823
Eixample,25349,0.015,0.117,0.172,0.265,0.431,6115,18545667,1975819,1807167,4697,4549,4633,9.533,11.95,10,84.717,55.517,80.683,1135.206897,41.3923,2.165
Gracia,24217.8,0.018,0.12,0.173,0.265,0.424,1775,107688,11572,10381,3905,3911,3901,8.26,11.62,8.9,61.4,42.1,55.02,1135.206897,41.4112,2.1575
Horta-Guinardo,19953,0.037,0.196,0.256,0.26,0.251,2137,8063,839053,792174,3069,3177,3028,10.609,14.9,11.336,54.4,34.445,43.273,1135.206897,41.4333,2.1524
Les Corts,31446.3,0.016,0.109,0.161,0.275,0.439,1955,10763667,1106167,1019889,4903,5011,4807,9.267,10.9,9.8,61.233,40.067,58.767,1135.206897,41.3845,2.1107
Nou Barris,14585.4,0.049,0.274,0.305,0.225,0.147,2331,8616154,884519,846365,2445,2354,2356,10.062,13.885,10.354,55.546,33.923,42.385,1135.206897,41.446,2.1795
Sant Andreu,17311,0.028,0.207,0.268,0.265,0.232,2245,11869286,1203869,1114262,2963,2896,2827,8.471,10.829,9.386,56.9,35.443,44.714,1135.206897,41.4422,2.1908
Sant Marti,21195.3,0.03,0.198,0.249,0.251,0.271,4213,130025,1349733,126028,3996,3875,235711,7.65,9.65,8.68,59.69,40.62,57.37,1135.206897,41.41,2.203
Sants-Montjuic,18384.4,0.029,0.217,0.242,0.244,0.268,3945,12362,1298292,1220021,3497,3459,331,9.125,10.788,10.55,74.388,45.6,61.738,1135.206897,41.3592,2.1447
Sarria-Gervasi,35406.8,0.007,0.06,0.122,0.293,0.518,2954,6810333,703986,652972,5192,4977,5179,8.667,10.917,9.117,49.133,32.567,48.383,1135.206897,41.4039,2.1306
